Microsoft (R) COFF/PE Dumper Version 11.00.60610.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    580198C6 time date stamp Sat Oct 15 10:47:34 2016
        0.00 version
        1502 ordinal base
        1207 number of functions
         944 number of names

    ordinal hint RVA      name

       1648   8B 000638C0 DdeGetLastError
       1649   8C 00061A50 DdeGetQualityOfService
       1650   8D 00063910 DdeImpersonateClient
       1651   8E 00063970 DdeInitializeA
       1652   8F 000639A0 DdeInitializeW
       1653   90 00077110 DdeKeepStringHandle
       1654   91 000639D0 DdeNameService
       1655   92 00092F30 DdePostAdvise
       1656   93 00093180 DdeQueryConvInfo
       1657   94 00061A60 DdeQueryNextServer
       1658   95 000771A0 DdeQueryStringA
       1659   96 000771D0 DdeQueryStringW
       1660   97 00061B70 DdeReconnect
       1661   98 00061CC0 DdeSetQualityOfService
       1662   99 00093320 DdeSetUserHandle
       1663   9A 00076100 DdeUnaccessData
       1664   9B 00063C00 DdeUninitialize
       1665   9C          DefDlgProcA (forwarded to NTDLL.NtdllDialogWndProc_A)
       1666   9D          DefDlgProcW (forwarded to NTDLL.NtdllDialogWndProc_W)
       1667   9E 00081140 DefFrameProcA
       1668   9F 00081170 DefFrameProcW
       1669   A0 00081FB0 DefMDIChildProcA
       1670   A1 00081FE0 DefMDIChildProcW
       1671   A2 00055E10 DefRawInputProc
       1672   A3          DefWindowProcA (forwarded to NTDLL.NtdllDefWindowProc_A)
       1673   A4          DefWindowProcW (forwarded to NTDLL.NtdllDefWindowProc_W)
       1674   A5 00025950 DeferWindowPos
       1675   A6 00095950 DeferWindowPosAndBand
       1676   A7 0002D8A0 DeleteMenu
       1677   A8 00028E60 DeregisterShellHookWindow
       1678   A9 00023F20 DestroyAcceleratorTable
       1679   AA 00028260 DestroyCaret
       1680   AB 0001AF10 DestroyCursor
       1681   AC 0002D8B0 DestroyDCompositionHwndTarget
       1682   AD 0001AF10 DestroyIcon
       1683   AE 0002D8C0 DestroyMenu
       1684   AF 0008CA60 DestroyReasons
       1685   B0 0002D8D0 DestroyWindow
       1686   B1 00056FA0 DialogBoxIndirectParamA
       1687   B2 0001BD60 DialogBoxIndirectParamAorW
       1688   B3 0001BD30 DialogBoxIndirectParamW
       1689   B4 00056FD0 DialogBoxParamA
       1690   B5 00057090 DialogBoxParamW
       1691   B6 000959B0 DisableProcessWindowsGhosting
       1692   B7 0002BC00 DispatchMessageA
       1693   B8 0000DF90 DispatchMessageW
       1694   B9 0001AFD0 DisplayConfigGetDeviceInfo
       1695   BA 0009DD10 DisplayConfigSetDeviceInfo
       1696   BB 000627D0 DisplayExitWindowsWarnings
       1697   BC 0007B650 DlgDirListA
       1698   BD 0005D290 DlgDirListComboBoxA
       1699   BE 0005D330 DlgDirListComboBoxW
       1700   BF 0007B6F0 DlgDirListW
       1701   C0 0005D370 DlgDirSelectComboBoxExA
       1702   C1 0005D3D0 DlgDirSelectComboBoxExW
       1703   C2 0007B730 DlgDirSelectExA
       1704   C3 0007B7A0 DlgDirSelectExW
       1705   C4 0002D8F0 DoSoundConnect
       1706   C5 0002D900 DoSoundDisconnect
       1707   C6 0002D910 DragDetect
       1708   C7 0002D920 DragObject
       1709   C8 0002D930 DrawAnimatedRects
       1710   C9 0009C0B0 DrawCaption
       1711   CA 00093AD0 DrawCaptionTempA
       1712   CB 0009BD10 DrawCaptionTempW
       1713   CC 0001EE50 DrawEdge
       1714   CD 00025980 DrawFocusRect
       1715   CE 0009FA10 DrawFrame
       1716   CF 000A0130 DrawFrameControl
       1717   D0 00024F50 DrawIcon
       1718   D1 00024F90 DrawIconEx
       1719   D2 00028EC0 DrawMenuBar
       1720   D3 00084ED0 DrawMenuBarTemp
       1721   D4 00085CF0 DrawStateA
       1722   D5 00026AC0 DrawStateW
       1723   D6 00020FD0 DrawTextA
       1724   D7 00021030 DrawTextExA
       1725   D8 000210E0 DrawTextExW
       1726   D9 00021230 DrawTextW
       1727   DA 0008D120 DwmGetDxSharedSurface
       1728   DB 0002D940 DwmGetRemoteSessionOcclusionEvent
       1729   DC 0002D950 DwmGetRemoteSessionOcclusionState
       1730   DD 0002D960 DwmKernelShutdown
       1731   DE 0002D970 DwmKernelStartup
       1732   DF 000959C0 DwmLockScreenUpdates
       1733   E0 0002D980 DwmValidateWindow
       1734   E1 0006C300 EditWndProc
       1735   E2 00028E10 EmptyClipboard
       1736   E3 00022C10 EnableMenuItem
       1737   E4 0002D9B0 EnableMouseInPointer
       1738   E5 0002D9D0 EnableNonClientDpiScaling
       1739   E6 0008D800 EnableScrollBar
       1740   E7 00091A10 EnableSessionForMMCSS
       1741   E8 00026700 EnableWindow
       1742   E9 00027220 EndDeferWindowPos
       1743   EA 0002D9F0 EndDeferWindowPosEx
       1744   EB 0001BEE0 EndDialog
       1745   EC 0002DA00 EndMenu
       1746   ED 0002DA10 EndPaint
       1747   EE 0002F560 EndTask
       1748   EF 0008BC70 EnterReaderModeHelper
       1749   F0 00029330 EnumChildWindows
       1750   F1 00095A50 EnumClipboardFormats
       1751   F2 00054F70 EnumDesktopWindows
       1752   F3 00054FA0 EnumDesktopsA
       1753   F4 00054FC0 EnumDesktopsW
       1754   F5 00016010 EnumDisplayDevicesA
       1755   F6 0001AA40 EnumDisplayDevicesW
       1756   F7 0002DA20 EnumDisplayMonitors
       1757   F8 000268C0 EnumDisplaySettingsA
       1758   F9 000268F0 EnumDisplaySettingsExA
       1759   FA 0001A180 EnumDisplaySettingsExW
       1760   FB 0001A150 EnumDisplaySettingsW
       1761   FC 00054FE0 EnumPropsA
       1762   FD 00055000 EnumPropsExA
       1763   FE 00055020 EnumPropsExW
       1764   FF 00055040 EnumPropsW
       1765  100 000290D0 EnumThreadWindows
       1766  101 00055060 EnumWindowStationsA
       1767  102 00055080 EnumWindowStationsW
       1768  103 00027560 EnumWindows
       1769  104 00023340 EqualRect
       1770  105 00090950 EvaluateProximityToPolygon
       1771  106 00009430 EvaluateProximityToRect
       1772  107 0002DA30 ExcludeUpdateRgn
       1773  108 00062A10 ExitWindowsEx
       1774  109 00023410 FillRect
       1775  10A 00025FD0 FindWindowA
       1776  10B 00093B70 FindWindowExA
       1777  10C 00027F80 FindWindowExW
       1778  10D 0001A410 FindWindowW
       1779  10E 00095A80 FlashWindow
       1780  10F 0002DA40 FlashWindowEx
       1781  110 000259D0 FrameRect
       1782  111 00064CF0 FreeDDElParam
       1783  112 0002DA50 FrostCrashedWindow
       1784  113 00025E40 GetActiveWindow
       1785  114 00093BA0 GetAltTabInfo
       1786  115 00093BA0 GetAltTabInfoA
       1787  116 0009BD90 GetAltTabInfoW
       1788  117 0002DA60 GetAncestor
       1790  118 00025CF0 GetAppCompatFlags
       1789  119 00012080 GetAppCompatFlags2
       1791  11A 00022170 GetAsyncKeyState
       1792  11B 0002DA70 GetAutoRotationState
       1793  11C 00095DC0 GetAwarenessFromDpiAwarenessContext
       1794  11D 0002DA80 GetCIMSSM
       1795  11E 0001FE50 GetCapture
       1796  11F 0002DA90 GetCaretBlinkTime
       1797  120 0002DAA0 GetCaretPos
       1798  121 000272B0 GetClassInfoA
       1799  122 00027300 GetClassInfoExA
       1800  123 00012A40 GetClassInfoExW
       1801  124 000129C0 GetClassInfoW
       1802  125 00025760 GetClassLongA
       1803  126 00016230 GetClassLongW
       1804  127 00024270 GetClassNameA
       1805  128 0001A120 GetClassNameW
       1806  129 000547F0 GetClassWord
       1807  12A 00010DE0 GetClientRect
       1808  12B 0002DAB0 GetClipCursor
       1809  12C 0002DAC0 GetClipboardAccessToken
       1810  12D 00026160 GetClipboardData
       1811  12E 000287B0 GetClipboardFormatNameA
       1812  12F 000282E0 GetClipboardFormatNameW
       1813  130 00028BF0 GetClipboardOwner
       1814  131 000289D0 GetClipboardSequenceNumber
       1815  132 00094CD0 GetClipboardViewer
       1816  133 0002DAD0 GetComboBoxInfo
       1817  134 0002DAE0 GetCurrentInputMessageSource
       1818  135 00025E50 GetCursor
       1819  136 00057120 GetCursorFrameInfo
       1820  137 0002DAF0 GetCursorInfo
       1821  138 00024370 GetCursorPos
       1822  139 0002DB00 GetDC
       1823  13A 0002DB10 GetDCEx
       1824  13B 0002DB20 GetDesktopID
       1825  13C 00011560 GetDesktopWindow
       1826  13D 00021F40 GetDialogBaseUnits
       1827  13E 0002DB30 GetDisplayAutoRotationPreferences
       1828  13F 0001B090 GetDisplayConfigBufferSizes
       1829  140 000258C0 GetDlgCtrlID
       1830  141 0001BBB0 GetDlgItem
       1831  142 0001B560 GetDlgItemInt
       1832  143 0009D600 GetDlgItemTextA
       1833  144 0001B940 GetDlgItemTextW
       1834  145 0002DB50 GetDoubleClickTime
       1835  146 000276D0 GetDpiForMonitorInternal
       1836  147 0000A2D0 GetDpiForSystem
       1837  148 00095F50 GetDpiForWindow
       1838  149 00019EC0 GetFocus
       1839  14A 0002DB60 GetForegroundWindow
       1840  14B 0002DB70 GetGUIThreadInfo
       1841  14C 0002DB80 GetGestureConfig
       1842  14D 000557F0 GetGestureExtraArgs
       1843  14E 00055810 GetGestureInfo
